Tiempo ensamblado [s]   Tiempo solucion [s]   Tamaño 
0.7395760999934282   0.2881418999968446   2000000 
1.4517434000008507   0.5606819000022369   4000000 
2.0115270000023884   0.7237745999955223   5500000 
2.2693914999981644   0.8297877000004519   6250000 
2.686136800002714   0.9987019000036526   7500000 
3.3134705999982543   1.2133845999996993   9000000 
3.6574516000036965   1.4365294999952312   10000000 
0.0920925000027637   0.06784060000063619   10 
0.0023595000020577572   0.00016689999756636098   20 
0.0023090999966370873   0.00018110000382876024   50 
0.0029874000028939918   0.00047389999963343143   75 
0.002560000000812579   0.0003789999973378144   100 
0.0036232999991625547   0.0004378000012366101   300 
0.004351499999756925   0.0004084999964106828   500 
0.005355799999961164   0.0003603000004659407   800 
0.005412799997429829   0.0008856000058585778   1000 
0.008459199998469558   0.0009296999996877275   5000 
0.007595399998535868   0.0009501999957137741   10000 
0.007668599995668046   0.0012821999989682809   14000 
0.006714399998600129   0.001131199998781085   15000 
0.00926150000304915   0.0019849000018439256   20000 
0.025017099993419833   0.011424399999668822   50000 
0.0324211999977706   0.00931529999797931   75000 
0.04375679999793647   0.014243199999327771   100000 
0.059900499996729195   0.02200299999822164   130000 
0.05922410000493983   0.024511199997505173   150000 
0.10918110000056913   0.03681279999727849   250000 
0.221647699996538   0.07384340000135126   500000 
0.22794439999415772   0.08031309999933   600000 
0.2746980000010808   0.10400919999665348   750000 
0.37797719999798574   0.13347849999991013   1000000 
0.7574517000030028   0.2544784999990952   2000000 
1.4833623000013176   0.513520200001949   4000000 
2.0027986000059173   0.7452154999991762   5500000 
2.2792977999997674   0.8764873000036459   6250000 
2.7515647999971407   1.117580199999793   7500000 
3.2221165000009933   1.2286915000004228   9000000 
3.6020073000036064   1.3698164000015822   10000000 
0.10284279999905266   0.08181119999790099   10 
0.002753399996436201   0.00022870000248076394   20 
0.002418999996734783   0.0006990000038058497   50 
0.002510800004529301   0.00021809999452671036   75 
0.003507299996272195   0.00023070000315783545   100 
0.003911699997843243   0.0006004000024404377   300 
0.003874400004860945   0.0006357000020216219   500 
0.0064168999961111695   0.00043030000233557075   800 
0.010609099997964222   0.0005160000000614673   1000 
0.009677399997599423   0.0007125999982235953   5000 
0.009622999998100568   0.001491100003477186   10000 
0.009240300001692958   0.0013235999940661713   14000 
0.0057620999941718765   0.001254700000572484   15000 
0.008866500000294764   0.0015119999952730723   20000 
0.025599799999326933   0.009801400003198069   50000 
0.03746089999913238   0.014720800005306955   75000 
0.05275380000239238   0.017983400000957772   100000 
0.06127289999858476   0.020837700001720805   130000 
0.06734119999600807   0.023850799996580463   150000 
0.10597349999443395   0.034752299994579516   250000 
0.19657459999871207   0.06744500000058906   500000 
0.2117392000000109   0.08313649999763584   600000 
0.2794531999970786   0.09426460000395309   750000 
0.36942029999772785   0.1422489000033238   1000000 
0.7412630000035278   0.29298299999936717   2000000 
1.4951971999980742   0.5306015000023763   4000000 
1.9995080000007874   0.7702016999974148   5500000 
2.3129894000012428   0.8229285999987042   6250000 
2.7343211000043084   1.0078028999996604   7500000 
3.4006239999944228   1.2033969999974943   9000000 
3.665809199999785   1.3539997999978368   10000000 
0.0952497999969637   0.07010979999904521   10 
0.0025534999949741177   0.00020079999376321211   20 
0.0024543999970774166   0.00047930000437190756   50 
0.002308999995875638   0.0001940000001923181   75 
0.0028562000006786548   0.00036270000418880954   100 
0.003467100003035739   0.0004658999969251454   300 
0.0037072999984957278   0.0006407000037143007   500 
