Tiempo ensamblado [s]   Tiempo solucion [s]   Tamaño 
0.058515699999816206   0.008098700000118697   10 
0.0022424999999657302   0.029609899999968547   20 
0.0033424999999169813   0.0016347999999197782   50 
0.0016448000001219043   0.00023820000001251174   75 
0.0012540000000171858   0.00022930000000087603   100 
0.0023526999998466636   0.0006101000001308421   300 
0.0026876000001720968   0.00080719999982648   500 
0.002244799999971292   0.0012867000000369444   800 
0.003443399999923713   0.002277099999901111   1000 
0.006542599999875165   0.0056643000000349275   3000 
0.006195899999966059   0.007381899999927555   5000 
0.005978099999992992   0.011508400000138863   7500 
0.0068630999999186315   0.009437500000103682   10000 
0.003295299999990675   0.012058999999908337   14000 
0.004535700000133147   0.016597299999830284   15000 
0.0060335000000577566   0.02104949999989003   20000 
0.01500480000004245   0.06232629999999517   50000 
0.025833700000021054   0.09845999999993182   75000 
