Tiempo ensamblado [s]   Tiempo inversa [s]   Tamaño 
0.24132829999999217   1.2252982999999915   2400 
0.4691264000000217   2.413716099999988   3300 
0.800492399999996   6.208651099999997   4600 
0.8038390000000106   6.44746219999999   5000 
2.0648036000000047   18.29465289999999   7500 
3.7423754000000145   49.14615470000001   10000 
0.10865870000003497   0.0878551999999786   4 
6.270000000085929e-05   0.0002799000000095475   7 
4.0800000022045424e-05   0.00038640000002487795   10 
9.249999999383363e-05   0.0002653000000236716   20 
0.0004083000000036918   0.0005436000000145214   50 
0.0004475000000070395   0.0006387999999901695   70 
0.0003967999999758831   0.0008390000000417785   85 
0.00033860000002050583   0.0008334999999988213   100 
0.0007102999999801796   0.0012047000000166008   150 
0.001172399999973095   0.0016752000000224143   200 
0.001001599999995051   0.002710400000012214   250 
0.0011594000000059168   0.003308199999992212   300 
0.003826699999990524   0.00691370000004099   400 
0.004697099999987131   0.01035839999997279   500 
0.012992999999994481   0.03484170000001541   750 
0.020778599999971448   0.055698500000005424   800 
0.02911519999997836   0.0916328000000135   950 
0.03281149999997979   0.08936660000000529   1000 
0.04315270000000737   0.1539337000000387   1250 
0.05503479999998717   0.16672670000002654   1400 
0.06979330000001482   0.21808779999997796   1500 
0.08437879999996767   0.3126363000000083   1650 
0.11311219999998912   0.429056600000024   1850 
0.13786349999998038   0.5374012000000334   1950 
0.134533499999975   0.5282478999999967   2000 
0.19538629999999557   0.810001600000021   2400 
0.35871020000001863   2.40840129999998   3300 
0.7379286999999977   5.364505199999996   4600 
0.7812882999999715   6.190214900000001   5000 
1.8865255000000047   18.674765200000024   7500 
3.5106190999999853   38.85867480000002   10000 
0.09480849999999919   0.08411430000001019   4 
6.319999999959691e-05   0.0002853000000300199   7 
4.190000004200556e-05   0.0003189999999904103   10 
0.00023170000002892266   0.00029879999999593565   20 
0.00015319999999974243   0.0007877999999550411   50 
0.0003654999999866959   0.0007911000000149215   70 
0.0003502999999795975   0.0007721000000060485   85 
0.00037729999996827246   0.0008198000000447792   100 
0.000528299999984938   0.0012621000000194726   150 
0.0008690000000228792   0.0018607000000088192   200 
0.0009721000000126878   0.0025964000000158194   250 
0.001063700000031531   0.004052999999998974   300 
0.003599799999960851   0.006548600000030547   400 
0.0053450999999995474   0.01603499999998803   500 
0.013178700000025856   0.032648999999992157   750 
0.01812510000002021   0.03500349999995933   800 
0.02034510000004275   0.06217269999996233   950 
0.025544199999956163   0.07278999999999769   1000 
0.05173849999999902   0.1440529000000197   1250 
0.05730510000000777   0.19290439999997488   1400 
0.061380700000029265   0.22426259999997455   1500 
0.08381270000000995   0.3185395000000426   1650 
0.103106299999979   0.4533283000000097   1850 
0.11947529999997641   0.530786599999999   1950 
0.2213149999999473   0.7754620000000045   2000 
0.25409830000000966   1.2542108999999755   2400 
0.5215694999999982   2.509722199999999   3300 
0.713955100000021   5.897080499999959   4600 
0.9493597000000022   6.227165800000023   5000 
2.2976072999999815   19.31894010000002   7500 
3.4368643000000247   41.28368089999998   10000 
0.10606619999998657   0.09751670000002832   4 
6.0700000005908805e-05   0.0002869999999575157   7 
3.720000000839718e-05   0.00032299999998031126   10 
