Tiempo eigh[s]    Tamaño 
0.0004020999913336709   50 
0.0006198000046424568   70 
0.0017417000053683296   85 
0.0011840000079246238   100 
0.0028649000014411286   150 
0.008999400000902824   200 
0.008327699993969873   250 
0.028955599991604686   300 
0.08404210000298917   400 
0.059957700010272674   500 
0.2686171000095783   750 
0.16999260000011418   800 
0.3360644000058528   950 
0.397536400007084   1000 
0.7757805000001099   1250 
0.9877448999905027   1300 
1.0488149000011617   1400 
1.303690300002927   1500 
2.05118599999696   1650 
2.930523400005768   1850 
2.8686059000028763   1950 
2.9051279999985127   2000 
3.5132248000008985   2100 
5.527916199993342   2400 
12.986126799994963   3300 
33.94079049999709   4600 
43.354174899999634   5000 
0.03028249999624677   3 
0.00017350001144222915   7 
0.00012040000001434237   10 
0.00014120001287665218   20 
0.00040299999818671495   50 
0.0018197999888798222   70 
0.000890600000275299   85 
0.001232399998116307   100 
0.002525999996578321   150 
0.006162900011986494   200 
0.006898899999214336   250 
0.012380599990137853   300 
0.0269451000058325   400 
0.034602300002006814   500 
0.12857800000347197   750 
0.17501029999402817   800 
0.7528593000024557   950 
1.274020400000154   1000 
1.0206120000075316   1250 
1.2113370999868494   1300 
1.6458142999908887   1400 
1.7125174999964656   1500 
2.161241299996618   1650 
3.443138899994665   1850 
3.601796500006458   1950 
3.3906602999923052   2000 
3.630096399996546   2100 
5.2220476000075   2400 
14.318093699999736   3300 
36.25060240000312   4600 
42.69225940000615   5000 
0.029788599989842623   3 
0.00023090001195669174   7 
0.0001736999984132126   10 
0.00041870000131893903   20 
0.0005683999916072935   50 
0.0007316999981412664   70 
0.0011766000097850338   85 
0.0011901999969268218   100 
0.0064467000047443435   150 
0.004116700001759455   200 
0.009988600009819493   250 
0.015053299997816794   300 
0.04945160000352189   400 
0.03868729999521747   500 
0.13479750000988133   750 
0.18482609999773558   800 
0.509426300006453   950 
0.421160099998815   1000 
0.7389259999908973   1250 
1.1940474000002723   1300 
0.9948535000003176   1400 
1.4327861000056146   1500 
2.191585699998541   1650 
3.2179489999980433   1850 
3.072898200000054   1950 
3.4252642999927048   2000 
3.949305700007244   2100 
5.658709199997247   2400 
14.18974519999756   3300 
38.07913479999115   4600 
44.31110370000533   5000 
0.03141219999815803   3 
0.0002459999959683046   7 
0.0003021999873453751   10 
0.00023469999723602086   20 
0.0007762000022921711   50 
0.0009443999879295006   70 
0.0011935000075027347   85 
0.003842400008579716   100 
0.0037121999921509996   150 
0.005291699999361299   200 
0.012267700003576465   250 
0.013872299998183735   300 
0.028620700002647936   400 
0.0357469000009587   500 
0.20765039999969304   750 
0.22838670000783168   800 
0.618821800002479   950 
0.5977098000003025   1000 
1.0457410000090022   1250 
0.9926187000091886   1300 
1.4399119000008795   1400 
1.7292673999909312   1500 
2.564669600003981   1650 
2.736348699996597   1850 
3.904424199994537   1950 
3.436297399995965   2000 
4.737349800008815   2100 
6.753710399992997   2400 
14.502872800003388   3300 
34.473970799997915   4600 
47.24028289999114   5000 
0.030245099987951107   3 
0.0002931000053649768   7 
0.00031259999377653003   10 
0.00022360000002663583   20 
0.0008621000015409663   50 
0.0010325999901397154   70 
0.0016143000102601945   85 
0.0046322999987751245   100 
0.00477750001300592   150 
0.006140600002254359   200 
0.009313500006101094   250 
0.015345300009357743   300 
0.030387299993890338   400 
0.043827200002851896   500 
0.19554629999038298   750 
0.26335090000065975   800 
0.6164966999931494   950 
0.5367134999978589   1000 
0.8369277999881888   1250 
1.163808199999039   1300 
2.212499899993418   1400 
1.8334043999930145   1500 
1.8344483999971999   1650 
2.4847206999984337   1850 
2.9771347999922   1950 
3.2967403000075137   2000 
3.889316900007543   2100 
6.489577400003327   2400 
14.03214769999613   3300 
37.59879869999713   4600 
45.20222739999008   5000 
0.026477899999008514   3 
0.0002604000037536025   7 
0.00017590000061318278   10 
0.0002305000089108944   20 
0.0006003000016789883   50 
0.0009073999972315505   70 
0.0014738000027136877   85 
0.0018217000033473596   100 
0.0038797000015620142   150 
0.003971900005126372   200 
0.010443799998029135   250 
0.01329450000775978   300 
0.021926799992797896   400 
0.04538280000269879   500 
0.18013179999252316   750 
0.231180900009349   800 
0.43600200000219047   950 
0.3687193999940064   1000 
0.7503610999992816   1250 
0.8910164999979315   1300 
0.9119119999959366   1400 
1.2852083000034327   1500 
1.5953522999916459   1650 
2.1493987000139896   1850 
2.7355870000028517   1950 
3.0907717000081902   2000 
3.5029935000056867   2100 
5.555118599993875   2400 
13.493001499999082   3300 
43.686059599989676   4600 
48.43516900000395   5000 
